Name,Location,Latitude,Longitude
7th Ave Transfer Station,"3000 S Seventh Ave, Phoenix, AZ 85041",33.41510615,-112.0838
Aguila Transfer Station,"48848 N 531st Ave, Aguila, AZ 85320",33.92745792,-113.2128
"Avondale, City Transfer Station","395 E Lower Buckeye Road & Fourth St, Avondale",33.41964214,-112.3459
Butterfield Transfer Station,"40404 South 99th Avenue, Mobile, AZ 85239",33.25934077,-112.229
Cave Creek Transfer Station (Republic),"1855 East Deer Valley Road, Phoenix, AZ 85024",33.68496385,-112.0433
Cave Creek Transfer Station,"3955 E Carefree Hwy., Carefree, AZ 85331",33.79944017,-111.9788
"Chandler, City Solid Waste Transfer Station","955 E Queen Creek Rd, Chandler 85286",33.26215813,-111.8261
"Chemical Transportation, Inc.","1945 E. Jackson St., Phoenix, AZ 85034",33.44504622,-112.0401
Deer Valley Transfer Station,"2120 W Adobe Dr, Phoenix, AZ 85027",33.68798235,-112.1055
Germann Transfer Station,"11520 E Germann Road, Chandler, AZ 85286",33.27725367,-111.8363
"Gilbert, Town Household Hazardous Waste Station","2224 E Queen Creek Rd., Gilbert AZ 85297",33.26455235,-111.7418
"Glendale, City Materials Recovery Facility","11480 W Glendale Ave, Glendale, AZ 85307",33.54393112,-112.307
"Harvest Recycling, Inc. Recycling Facility","1350 N. 21st. Avenue, Avondale, AZ 85009",33.43530289,-112.1055
Hassayampa Transfer Station,"32450 W. Salome Highway, Arlington, AZ 85354",33.37102311,-112.7529
Kary Environmental Services Inc.,"536 South Drew St, Mesa, AZ 85210",33.40508552,-111.8333
Lone Butte Transfer Station (on Gila Indian Reservation),"1000 S. Kyrene Rd., Chandler, AZ 85226",33.28953381,-111.9459
Mesa Transfer Station,"6711 South Mountain Road, Mesa, AZ 85212",33.29422427,-111.5898
Morristown Transfer Station,"40135 N HWY 60, Morriston, AZ 85342",33.84770567,-112.6087
New River Transfer Station,"41835 N. Lake Pleasant, Peoria, AZ 85382",33.68919041,-112.2789
Paradise Waste Transfer Facility,"4845 West Lower Buckeye Road, Phoenix, AZ, 85043",33.42089206,-112.1639
Phoenix (7th Street) Transfer Station,"1500 South 7th St, Phoenix, AZ 85034",33.43398713,-112.0664
"Phoenix, City of, 27th Avenue Transfer Station","3060 S 27th Ave, Phoenix,AZ 85009",33.41690472,-112.1186
"Phoenix, City North Gateway Transfer Station","30205 North Black Canyon Hwy, Phoenix, AZ 85085",33.76103076,-112.1155
Pioneer Sand Company,"609 W Guadalupe Rd, Gilbert, AZ 85233",33.36429477,-111.8027
Rainbow Valley Transfer Station,"17735 S Rainbow Valley, Goodyear, AZ 85338",33.2929489,-112.4496
Right Away Disposal LLC – Phoenix Transfer Station," 3000 S. 19th Ave., Phoenix, AZ 85009",33.42212617,-112.1006
San Tan Transfer Station,"4040 S. 80th St, Mesa AZ 85212",33.34167476,-111.662
"Scottsdale, City Transfer Facility","8417 East Union Hills Drive, 1/2 Mile West of Pima Road",33.65479191,-111.896
"Sickles Sanitation, Inc.","53412 N Industrial Rd, Wickenburg, AZ 85390",33.96655194,-112.8122
Sky Harbor Regional Transfer Station,"2425 S 40th St, Phoenix, AZ 85034",33.42519145,-111.9931
"Tempe, City Household Hazardous Waste Collection","1320 E University Dr, Tempe, AZ 85281",33.42288691,-111.9173
Weinberger Inc. Transfer Facility,"3425 S 43rd Ave, Phoenix,AZ 85009",33.41623268,-112.1491
White Tank Transfer Station,"18605 W. McDowell Rd, Goodyear AZ 85395",33.46397423,-112.4586
Alpine Transfer Station,.5 miles S of Hwy 180 on FR 2311,33.84164456,-109.1433
Concho Transfer Station,14 miles W of St Johns on Hwy 61,34.42231473,-109.6421
Nutrioso Transfer Station,"N of MM 415 on US 180, 2 miles E of Nutrioso, Nutrioso, AZ 85932",33.95314913,-109.2086
Round Valley Transfer Station,"Eagar, AZ 85925",34.1167965,-109.3087
Sanders Transfer Station,Arizona 86512,35.19284756,-109.2823
Vernon Transfer Station,"35900 US-60, Vernon, AZ 85940",34.27134783,-109.7443
Benson Transfer Station,,31.9861,-110.2977
Bisbee Transfer Station,,31.40344,-109.9008
Douglas Transfer Station,,31.34531202,-109.5647
Sierra Vista Transfer Station,,31.55606,-110.1981
BOWIE TRANSFER STATION,,32.329757,-109.4772
Tombstone Transfer Station,,31.729508,-110.0686
Willcox Transfer Station,,32.2451,-109.8232
Double Adobe Transfer St,,31.46406,-109.6991
Dragoon Transfer Station,,32.033901,-109.9903
Elfrida Transfer Station,,31.529508,-109.2621
Portal / Paradise Transfer St.,,31.9137028,-109.1441
San Simon Transfer Station,,32.163,-109.1336
Sunizona Mustang Mall TS,,31.905087,-109.8206
St. David Transfer Station,,31.927977,-110.2134
Sunsites Transfer Station,,31.5841,-109.485
Badger Creek Waste Collection Area Transfer Station,,36.77294,-111.656
City of Flagstaff Hazardous Products Center,"6770 E Landfill Rd, Flagstaff, AZ 86004",35.30592616,-111.5203
Flagstaff Transfer Station,"2508 South Flagstaff Ranch Rd, Flagstaff, AZ 86001",35.18866587,-111.7101
Fredonia (Town of) Transfer Station,"45 S. Juniper Street, Fredonia, AZ 86022",36.94467979,-112.5179
Grand Canyon National Park Waste Transfer Station,"1575 Shuttle Bus Road, Grand Canyon, AZ 86023",36.0328415,-112.1286
Lake Ellen Transfer Station,"1020 Rodeo Rd, Williams, AZ 86046",35.25825361,-112.1788
Mormon Lake Transfer Station,"Lake Mark Rd, off Mormon Lake Rd, Mormon Lake",34.98642327,-111.4566
Page Transfer Station,"3004 Coppermine Rd, Page, AZ 86040",36.88478992,-111.4414
Willard Springs Transfer Station,"Willard Springs Rd & I-17, Munds Park",34.99154637,-111.7021
Williams Transfer Station,"575 East Frank Way, Williams, AZ",35.26141048,-112.184
Payson Transfer Station,"902 N. Chenault Pkway, Payson 85541",34.25520396,-111.3561
Roosevelt Transfer Station,1.25 miles East of the Grapevine Group Site road turn south on road and follow to the transfer station,33.64486555,-111.0449
"Waste Matters and Recycling, Inc. Transfer Station","61 Moonlight Drive, Star Valley, AZ 85541",34.25447906,-111.258
Artesia Solid Waste Transfer Station,"100 East Quail Trail Safford, AZ 85546",32.71442999,-109.7077
Fort Thomas SWTS,2.5 Miles east of Fort Thomas at MP 310 on Hwy 70,33.03756685,-109.9652
Klondyke Solid Waste Transfer Station,1075 S Four Mile Creek Road,32.82992788,-110.346
San Jose Solid Waste Transfer Station,15 Miles East Of Safford On San Jose Landfill Rd,32.81524611,-109.5905
Blue Transfer Station,,33.56811994,-112.2204
Freeport McMoRan Morenci Transfer Station (Buena Vista),,33.06043932,-109.3335
Sands Wash Transfer Station,,32.7261,-109.0817
Bouse Transfer Station,"Bouse, AZ 85325",33.93503861,-114.0052
Cibola Transfer Station,"Cibola Lake Rd, 85328",33.29670249,-114.6589
Ehrenburg Transfer Station,"49199 Ehrenberg Poston Hwy, Ehrenberg, AZ 85334",33.6304697,-114.4871
Parker Transfer Station,"26999 AZ-95, Parker, AZ 85344",33.94626338,-114.1935
Quartzsite Transfer Station,"Quartzsite, AZ 85346",33.69900102,-114.2193
Salome Transfer Station,"68th St N, Salome, AZ 85348",33.79725799,-113.6639
USFO Waste Transfer Facility,"1125 West Dome Rock Road, Quartzsite, AZ 85346",33.65876748,-114.2427
